,Select,distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,fuel_lt,Anomaly_Score,Anomaly_Reason
94,false,11.8,5.9,21,40,9,1,1,0,0.6962,83.40334605516074,temp_inside
59,false,12.3,5.7,52,21.5,8,0,1,0,10,34.207610583739566,fuel_lt
210,false,1.3,11.5,21,20,10,0,0,0,0.14950000000000002,28.695960322193653,consume
61,false,2.1,12.2,23,21.5,9,1,1,0,0.2562,21.720001505455244,consume
319,false,216.1,5.3,90,22,21,0,0,1,11.453299999999999,19.47818082715546,speed
147,false,1.7,10.8,14,21.5,10,0,1,0,0.1836,18.04575399501706,consume
45,false,2,9.9,21,21.5,4,0,0,0,0.198,14.575052740965003,consume
318,false,211,4.6,80,22,20,0,0,0,9.706,13.344983251550508,speed
301,false,19,5,35,22,15,1,0,1,0.9500000000000001,12.70061594397048,sun
40,false,12.4,4,55,21.5,7,1,1,0,0.49600000000000005,12.239676132044929,consume
206,false,2.4,9,26,20,10,0,0,0,0.216,11.479160060009768,consume
273,false,93.9,4.8,88,23,18,1,0,1,4.5072,10.825244218653667,sun
69,false,11.8,4.5,37,21.5,4,1,0,0,0.531,10.758379282256602,AC
112,false,5.1,8.7,21,23.5,5,0,0,0,0.44369999999999993,10.742127980741623,consume
101,false,26.2,5.8,71,21,8,1,1,0,1.5195999999999998,10.22409951843135,temp_inside
302,false,16.6,4.4,46,22,5,1,0,0,0.7304000000000002,10.214602016756714,AC
373,false,15.3,6.6,16,24,27,1,0,0,1.0098,10.141572078792969,rain
106,false,162.7,5.5,75,23,1,0,0,0,8.9485,9.632854951554549,speed
153,false,17.3,5,61,21.5,6,1,1,0,0.8650000000000001,9.562890388463508,temp_inside
201,false,22.2,3.8,42,21.982712765957448,15,0,0,0,0.8435999999999999,0,sun
203,false,12.6,4.1,33,21.982712765957448,17,0,0,0,0.5166,0,sun
100,false,5.3,4.1,34,21.982712765957448,9,0,0,0,0.21729999999999997,0,consume
99,false,6.4,4.4,37,21.982712765957448,10,0,0,0,0.2816,0,consume
102,false,18.8,5,62,21.982712765957448,9,0,1,0,0.9400000000000001,0,rain
267,false,22.9,4,29,21.982712765957448,21,0,0,0,0.9159999999999999,0,speed
268,false,16,3.8,42,21.982712765957448,8,0,0,0,0.608,0,consume
98,false,12.9,5.7,35,21.982712765957448,9,0,0,0,0.7353000000000001,0,consume
97,false,15.7,5.3,33,21.982712765957448,9,0,0,0,0.8321,0,speed
95,false,11.8,5.3,52,21.982712765957448,11,0,0,0,0.6254000000000001,0,speed
93,false,12.4,4.7,43,21.982712765957448,10,0,0,0,0.5828,0,temp_inside
261,false,24.5,3.9,50,21.982712765957448,15,0,0,1,0.9555,0,sun
